WKT,nome,descrizione
"POINT (12.678682 42.647232)",T1,42.647232 N  12.678682 E
Spoleto fg. 287, partt. 20 - 59
"POINT (12.672658 42.654368)",T2,42.654368 N 12.672658 E 
Spoleto fg 277, part. 51
"POINT (12.667219 42.658543)",T3,42.658543 N 12.667219 E 
Spoleto fg. 277, par. 21 - 92, foglio 267 particella 7
"POINT (12.672642 42.661652)",T4,42.661652 N 12.672642 E 
Spoleto fg. 267, partt. 58, 63, 68, 69
"POINT (12.679164 42.667386)",T5,42.667386 N 12.679164 E 
Spoleto fg. 268, partt. 5 - 6
"POINT (12.685074 42.668586)",T6,42.668586 N 12.685074 E 
Spoleto fg. 268, par. 6 - Fg. 266, part. 203

"POINT (12.692698 42.672297)",T7,42.672297 N 12.692698 E 
Spoleto fg. 255, part. 78, fg. 266, partt. 123, 124, 125
"POINT (12.698461 42.674511)",T8,42.674511 N 12.698461 E
Spoleto fg. 255, part. 78 - fg. 256, partt. 37 - 46 - 55

"POINT (12.783399 42.607541)",Impianto di accumulo,42.607541 N 12.783399 E
Ferentillo Fg. 60, partt. 89 - 92
"POINT (12.784131 42.608195)",Stazione utente MT/AT,42.608195 N 12.784131 E
Ferentillo Fg 60, partt. 37 - 38 - 39 - 89
"POINT (12.784637 42.609736)",Stazione di Trasformazione 380/132 kV,42.609736 N 12.784637 E
Ferentillo Fg. 60,  partt 21-22-23-24-25-26-31- 32-33-34-34-36-37-39- 40-41-42-ACQUA096- STRADA29
"POINT (12.6881212 42.6646186)",LIDAR NON DOCUMENTATO,
"POINT (12.6893495 42.6707283)",LIDAR COLLE MEZZO,
